nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 12 7 5 s 1076.382851453 7.810e-04 16
0 0 0 0 0 0 12 7 5 a 1076.597562173 1.380e-03 11
0 0 0 0 0 0 13 3 10 s 1080.599359777 8.302e-04 16
0 0 0 0 0 0 13 3 10 a 1080.870376351 1.471e-03 13
0 0 0 0 0 0 13 4 10 s 1081.172831422 1.489e-03 11
0 0 0 0 0 0 13 4 10 a 1081.447549223 8.351e-04 15
0 1 0 0 0 0 5 3 3 s 1083.125234778 2.998e-04 12
0 1 0 0 0 0 5 3 2 s 1084.011999770 3.072e-04 12
0 1 0 0 0 0 6 0 6 s 1088.041424225 6.679e-04 5
0 1 0 0 0 0 6 1 6 s 1088.097735808 3.843e-04 6
0 1 0 0 0 0 5 2 3 a 1088.826830475 2.949e-04 11
