nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 12 2 11 a 667.616377657 4.698e-04 27
0 0 0 0 0 0 11 4 7 s 683.026564242 8.758e-04 32
0 0 0 0 0 0 11 4 7 a 683.145147175 3.005e-04 34
0 0 0 0 0 0 11 5 7 s 687.592719370 2.965e-04 34
0 0 0 0 0 0 11 5 7 a 687.703025449 8.072e-04 31
0 0 0 0 0 0 10 8 3 s 688.609865960 5.884e-04 31
0 0 0 0 0 0 10 8 2 s 688.612541666 2.362e-04 31
0 0 0 0 0 0 10 8 3 a 688.721129619 2.362e-04 35
0 0 0 0 0 0 10 8 2 a 688.723735025 5.612e-04 30
0 0 0 0 0 0 11 5 6 s 702.988323219 7.585e-04 30
0 0 0 0 0 0 11 5 6 a 703.101539542 7.212e-04 37
0 0 0 0 0 0 11 5 8 a 708.591360315 5.129e-04 2
0 0 0 0 0 0 13 1 13 s 711.475336994 6.100e-04 18
0 0 0 0 0 0 13 0 13 s 711.475864884 1.468e-03 16
0 0 0 0 0 0 13 0 13 a 711.680945907 5.566e-04 16
0 0 0 0 0 0 13 1 13 a 711.681554436 1.448e-03 17
0 0 0 0 0 0 12 2 10 s 716.965041630 2.864e-04 28
0 0 0 0 0 0 12 3 10 s 716.976059333 1.092e-03 30
0 0 0 0 0 0 12 2 10 a 717.105361680 1.111e-03 28
0 0 0 0 0 0 12 3 10 a 717.115594355 3.754e-04 29
0 0 0 0 0 0 11 6 6 s 718.911754838 7.425e-04 35
0 0 0 0 0 0 11 6 6 a 719.006784555 8.183e-04 29
0 0 0 0 0 0 11 6 5 s 723.222934134 7.604e-04 35
0 0 0 0 0 0 11 6 5 a 723.320926538 2.438e-04 37
0 0 0 0 0 0 10 9 2 s 733.940616612 5.220e-04 29
0 0 0 0 0 0 10 9 1 s 733.940630073 2.800e-04 30
0 0 0 0 0 0 10 9 1 a 734.042123657 5.221e-04 27
0 0 0 0 0 0 10 9 2 a 734.042231316 2.800e-04 27
0 0 0 0 0 0 11 7 5 s 752.673889542 2.692e-04 33
0 0 0 0 0 0 11 7 5 a 752.749394100 7.274e-04 31
0 0 0 0 0 0 11 7 4 s 753.208006224 6.707e-04 25
0 0 0 0 0 0 11 7 4 a 753.283693764 2.389e-04 32
0 0 0 0 0 0 12 3 9 s 760.316400572 3.754e-04 33
0 0 0 0 0 0 12 3 9 a 760.438763968 1.062e-03 30
0 0 0 0 0 0 12 4 9 s 760.523823333 1.212e-03 30
0 0 0 0 0 0 12 4 9 a 760.644176379 3.137e-04 30
0 0 0 0 0 0 13 2 12 s 771.645474196 4.957e-04 23
0 0 0 0 0 0 13 1 12 s 771.645799700 1.252e-03 24
0 0 0 0 0 0 13 1 12 a 771.812983175 4.804e-04 19
0 0 0 0 0 0 13 2 12 a 771.813458509 1.314e-03 19
0 0 0 0 0 0 10 10 1 s 784.622958994 5.558e-04 21
0 0 0 0 0 0 10 10 0 s 784.623071313 3.183e-04 20
0 0 0 0 0 0 10 10 0 a 784.715293554 5.468e-04 17
0 0 0 0 0 0 10 10 1 a 784.715312957 3.183e-04 20
0 0 0 0 0 0 11 8 4 s 791.751448256 3.331e-04 32
0 0 0 0 0 0 11 8 3 s 791.768787367 7.584e-04 31
0 0 0 0 0 0 11 8 4 a 791.865006130 6.951e-04 35
0 0 0 0 0 0 11 8 3 a 791.881874623 2.974e-04 31
0 0 0 0 0 0 12 4 8 s 796.034632664 3.137e-04 32
0 0 0 0 0 0 12 4 8 a 796.147233649 9.337e-04 30
0 0 0 0 0 0 12 5 8 s 798.219899369 9.901e-04 29
0 0 0 0 0 0 12 5 8 a 798.326280249 3.931e-04 31
0 1 0 0 0 0 0 0 0 s 810.226695760 2.003e-04 2
0 0 0 0 0 0 14 0 14 s 818.185518681 7.437e-04 15
0 0 0 0 0 0 14 1 14 s 818.186330251 1.562e-03 17
0 0 0 0 0 0 14 1 14 a 818.398915782 6.603e-04 16
0 0 0 0 0 0 14 0 14 a 818.399551914 1.587e-03 16
0 1 0 0 0 0 1 0 1 s 819.243701327 2.002e-04 4
0 1 0 0 0 0 0 0 0 a 819.564793445 2.002e-04 2
0 0 0 0 0 0 12 5 7 s 821.217529758 3.309e-04 30
0 0 0 0 0 0 12 5 7 a 821.327026582 9.336e-04 31
0 1 0 0 0 0 1 1 1 s 821.457585219 2.000e-04 5
0 1 0 0 0 0 1 1 0 s 823.064372317 2.000e-04 3
0 0 0 0 0 0 13 2 11 s 825.998627651 1.278e-03 24
0 0 0 0 0 0 13 3 11 s 826.001002338 3.951e-04 26
0 0 0 0 0 0 13 2 11 a 826.137969958 4.754e-04 25
0 0 0 0 0 0 13 3 11 a 826.141095113 1.359e-03 23
0 1 0 0 0 0 1 0 1 a 828.577967970 2.003e-04 4
0 1 0 0 0 0 1 1 1 a 830.761136554 2.000e-04 5
0 0 0 0 0 0 12 6 7 s 831.958660220 9.086e-04 32
0 0 0 0 0 0 12 6 7 a 832.051004136 3.501e-04 29
0 1 0 0 0 0 1 1 0 a 832.338385759 2.000e-04 4
0 0 0 0 0 0 11 9 3 s 836.645565522 3.582e-04 25
0 0 0 0 0 0 11 9 2 s 836.646067699 6.604e-04 22
0 1 0 0 0 0 2 0 2 s 836.656382734 2.003e-04 5
0 0 0 0 0 0 11 9 3 a 836.746026050 7.854e-04 26
0 0 0 0 0 0 11 9 2 a 836.746423808 3.582e-04 27
0 1 0 0 0 0 2 1 2 s 837.874809901 2.003e-04 6
0 0 0 0 0 0 12 6 6 s 841.016651936 3.273e-04 29
0 0 0 0 0 0 12 6 6 a 841.115460579 8.638e-04 31
0 1 0 0 0 0 2 1 1 s 842.676812704 2.006e-04 6
0 1 0 0 0 0 2 0 2 a 845.957151987 2.002e-04 5
0 1 0 0 0 0 2 1 2 a 847.234108300 2.006e-04 6
0 1 0 0 0 0 2 2 1 s 849.388447917 2.002e-04 7
0 1 0 0 0 0 2 2 0 s 849.952320561 2.003e-04 5
0 1 0 0 0 0 2 1 1 a 851.946856616 2.003e-04 6
0 1 0 0 0 0 2 2 1 a 858.485013731 2.003e-04 7
0 1 0 0 0 0 2 2 0 a 859.075492385 2.002e-04 5
0 1 0 0 0 0 3 0 3 s 861.653215786 2.006e-04 5
0 1 0 0 0 0 3 1 3 s 862.154988512 2.006e-04 7
0 0 0 0 0 0 12 7 6 s 866.070769557 8.829e-04 27
0 0 0 0 0 0 12 7 6 a 866.146214903 3.309e-04 32
0 0 0 0 0 0 12 7 5 s 867.728958966 3.310e-04 34
0 0 0 0 0 0 12 7 5 a 867.805677620 2.435e-03 25
0 1 0 0 0 0 3 1 3 a 870.882300626 2.003e-04 6
0 1 0 0 0 0 3 0 3 a 870.924117064 2.010e-04 5
0 1 0 0 0 0 3 1 2 s 872.314705424 2.003e-04 6
0 0 0 0 0 0 13 3 10 s 874.302540557 1.131e-03 28
0 0 0 0 0 0 13 4 10 s 874.374138837 4.754e-04 28
0 0 0 0 0 0 13 3 10 a 874.421624101 3.951e-04 27
0 0 0 0 0 0 13 4 10 a 874.493503267 1.145e-03 26
0 1 0 0 0 0 3 2 2 s 876.503227568 2.010e-04 8
0 1 0 0 0 0 3 2 1 s 878.995205672 2.007e-04 7
0 1 0 0 0 0 3 1 2 a 880.854308179 2.006e-04 7
0 0 0 0 0 0 14 1 13 s 883.206451792 6.260e-04 21
0 0 0 0 0 0 14 2 13 s 883.207106265 1.413e-03 23
0 0 0 0 0 0 14 2 13 a 883.377404789 6.201e-04 19
0 0 0 0 0 0 14 1 13 a 883.377888442 1.465e-03 19
0 1 0 0 0 0 3 2 2 a 885.557603951 2.006e-04 9
0 0 0 0 0 0 11 10 2 s 887.054571048 3.599e-04 24
0 0 0 0 0 0 11 10 1 s 887.054588829 7.861e-04 21
0 0 0 0 0 0 11 10 1 a 887.145391423 3.599e-04 19
0 0 0 0 0 0 11 10 2 a 887.145399442 6.477e-04 20
0 1 0 0 0 0 3 2 1 a 888.096056424 2.010e-04 7
0 1 0 0 0 0 3 3 1 s 891.793804522 2.007e-04 8
0 1 0 0 0 0 3 3 0 s 891.930565743 2.086e-03 7
0 1 0 0 0 0 4 0 4 s 893.894345552 2.021e-04 6
0 1 0 0 0 0 4 1 4 s 894.065154584 2.020e-04 8
0 1 0 0 0 0 3 3 1 a 900.659982698 2.007e-04 7
0 1 0 0 0 0 3 3 0 a 900.807827892 2.007e-04 5
0 1 0 0 0 0 4 0 4 a 903.180604655 2.006e-04 5
0 1 0 0 0 0 4 1 4 a 903.293918774 2.022e-04 6
0 0 0 0 0 0 12 8 5 s 904.578607583 8.550e-04 26
0 0 0 0 0 0 12 8 4 s 904.626755299 3.242e-04 33
0 0 0 0 0 0 12 8 5 a 904.754517274 3.242e-04 32
0 0 0 0 0 0 12 8 4 a 904.803729461 8.006e-04 25
0 1 0 0 0 0 4 1 3 s 909.396164049 2.020e-04 8
0 1 0 0 0 0 4 2 3 s 912.098833678 2.006e-04 10
0 0 0 0 0 0 13 4 9 s 915.708989201 1.118e-03 31
0 0 0 0 0 0 13 4 9 a 915.814951504 4.605e-04 28
0 0 0 0 0 0 13 5 9 s 916.638179844 4.297e-04 29
0 0 0 0 0 0 13 5 9 a 916.742004579 1.227e-03 32
0 1 0 0 0 0 4 2 2 s 918.063044872 2.016e-04 8
0 1 0 0 0 0 4 1 3 a 918.278249213 2.020e-04 7
0 1 0 0 0 0 4 2 3 a 921.329159164 2.016e-04 9
